"ZIP Code","Total Cases","Deaths"
"61431","102","N/A"
"61432","197","N/A"
"61433","39","N/A"
"61434","985","N/A"
"61435","39","N/A"
"61436","197","N/A"
"61437","164","N/A"
"61438","198","N/A"
"61439","67","N/A"
"61440","204","N/A"
"61441","271","N/A"
"61442","198","N/A"
"61443","5,371","N/A"
"61447","262","N/A"
"61448","1,188","N/A"
"61449","139","N/A"
"61450","449","N/A"
"61451","83","N/A"
"61452","86","N/A"
"61453","163","N/A"
"61454","160","N/A"
"61455","6,165","N/A"
"61458","165","N/A"
"61459","80","N/A"
"61460","65","N/A"
"61462","3,438","N/A"
"61465","324","N/A"
"61466","97","N/A"
"61467","294","N/A"
"61468","15","N/A"
"61469","472","N/A"
"61470","171","N/A"
"61471","29","N/A"
"61472","151","N/A"
"61473","530","N/A"
"61474","79","N/A"
"61475","61","N/A"
"61476","102","N/A"
"61477","159","N/A"
"61478","67","N/A"
"61479","38","N/A"
"61480","378","N/A"
"61482","239","N/A"
"61483","725","N/A"
"61484","229","N/A"
"61485","155","N/A"
"61486","417","N/A"
"61488","292","N/A"
"61489","236","N/A"
"61490","276","N/A"
"61491","655","N/A"
"61501","604","N/A"
"61516","209","N/A"
"61517","937","N/A"
"61519","75","N/A"
"61520","7,103","N/A"
"61523","3,208","N/A"
"61524","92","N/A"
"61525","3,589","N/A"
"61526","344","N/A"
"61528","964","N/A"
"61529","838","N/A"
"61530","2,087","N/A"
"61531","1,052","N/A"
"61532","156","N/A"
"61533","684","N/A"
"61534","564","N/A"
"61535","561","N/A"
"61536","960","N/A"
"61537","887","N/A"
"61539","53","N/A"
"61540","852","N/A"
"61541","39","N/A"
"61542","1,152","N/A"
"61543","24","N/A"
"61544","186","N/A"
"61545","194","N/A"
"61546","1,357","N/A"
"61547","1,258","N/A"
"61548","4,182","N/A"
"61550","6,512","N/A"
"61552","59","N/A"
"61553","69","N/A"
"61554","14,874","N/A"
"61555","39","N/A"
"61559","921","N/A"
"61560","141","N/A"
"61561","900","N/A"
"61562","27","N/A"
"61563","153","N/A"
"61564","366","N/A"
"61565","361","N/A"
"61567","175","N/A"
"61568","1,551","N/A"
"61569","327","N/A"
"61570","543","N/A"
"61571","8,349","N/A"
"61572","297","N/A"
"61601","68","N/A"
"61602","355","N/A"
"61603","5,358","N/A"
"61604","10,765","N/A"
"61605","4,656","N/A"
"61606","1,706","N/A"
"61607","3,738","N/A"
"61610","1,688","N/A"
"61611","8,398","N/A"
"61612","49","N/A"
"61613","6","N/A"
"61614","9,487","N/A"
"61615","7,937","N/A"
"61616","2,212","N/A"
"61625","94","N/A"
"61636","18","N/A"
"61651","6","N/A"
"61701","12,890","N/A"
"61702","83","N/A"
"61704","13,296","N/A"
"61705","5,403","N/A"
"61720","87","N/A"
"61721","214","N/A"
"61722","170","N/A"
"61723","893","N/A"
"61724","167","N/A"
"61725","538","N/A"
"61726","908","N/A"
"61727","3,114","N/A"
"61728","508","N/A"
"61729","392","N/A"
"61730","120","N/A"
"61731","81","N/A"
"61732","770","N/A"
"61733","370","N/A"
"61734","819","N/A"
"61735","93","N/A"
"61736","805","N/A"
"61737","154","N/A"
"61738","1,609","N/A"
"61739","1,645","N/A"
"61740","574","N/A"
"61741","582","N/A"
"61742","332","N/A"
"61743","80","N/A"
"61744","603","N/A"
"61745","1,619","N/A"
"61747","600","N/A"
"61748","1,049","N/A"
"61749","169","N/A"
"61750","28","N/A"
"61751","39","N/A"
"61752","1,487","N/A"
"61753","1,043","N/A"
"61754","405","N/A"
"61755","1,598","N/A"
"61756","678","N/A"
"61759","591","N/A"
"61760","896","N/A"
"61761","20,867","N/A"
"61764","5,577","N/A"
"61769","189","N/A"
"61770","355","N/A"
"61771","236","N/A"
"61772","134","N/A"
"61773","184","N/A"
"61774","290","N/A"
"61775","134","N/A"
"61776","473","N/A"
"61777","264","N/A"
"61778","206","N/A"
"61790","747","N/A"
"61801","11,110","N/A"
"61802","7,975","N/A"
"61803","61","N/A"
"61810","106","N/A"
"61811","285","N/A"
"61812","140","N/A"
"61813","581","N/A"
"61814","580","N/A"
"61815","88","N/A"
"61816","169","N/A"
"61817","1,153","N/A"
"61818","605","N/A"
"61820","20,179","N/A"
"61821","11,529","N/A"
"61822","9,316","N/A"
"61824","46","N/A"
"61825","12","N/A"
"61826","90","N/A"
"61830","131","N/A"
"61831","53","N/A"
"61832","15,320","N/A"
"61833","970","N/A"
"61834","4,512","N/A"
"61839","161","N/A"
"61840","358","N/A"
"61841","551","N/A"
"61842","1,126","N/A"
"61843","1,018","N/A"
"61844","380","N/A"
"61845","123","N/A"
"61846","2,086","N/A"
"61847","594","N/A"
"61848","125","N/A"
"61849","606","N/A"
"61850","201","N/A"
"61851","109","N/A"
"61852","76","N/A"
"61853","5,438","N/A"
"61854","516","N/A"
"61855","48","N/A"
"61856","2,652","N/A"
"61857","76","N/A"
"61858","1,389","N/A"
"61859","457","N/A"
"61862","217","N/A"
"61863","341","N/A"
"61864","726","N/A"
"61865","593","N/A"
"61866","6,202","N/A"
"61870","512","N/A"
"61871","110","N/A"
"61872","235","N/A"
"61873","2,572","N/A"
"61874","3,539","N/A"
"61875","239","N/A"
"61876","290","N/A"
"61877","631","N/A"
"61878","493","N/A"
"61880","1,965","N/A"
"61882","186","N/A"
"61883","2,104","N/A"
"61884","382","N/A"
"61910","2,028","N/A"
"61911","1,171","N/A"
"61912","408","N/A"
"61913","553","N/A"
"61914","632","N/A"
"61917","219","N/A"
"61919","320","N/A"
"61920","8,159","N/A"
"61924","891","N/A"
"61925","317","N/A"
"61928","259","N/A"
"61929","239","N/A"
"61930","213","N/A"
"61931","402","N/A"
"61932","134","N/A"
"61933","394","N/A"
"61936","93","N/A"
"61937","652","N/A"
"61938","9,061","N/A"
"61940","83","N/A"
"61941","26","N/A"
"61942","454","N/A"
"61943","521","N/A"
"61944","4,738","N/A"
"61949","66","N/A"
"61951","2,875","N/A"
"61953","2,711","N/A"
"61955","76","N/A"
"61956","1,229","N/A"
"61957","658","N/A"
"62001","568","N/A"
"62002","11,563","N/A"
"62006","264","N/A"
"62009","581","N/A"
"62010","4,247","N/A"
"62011","106","N/A"
"62012","2,193","N/A"
"62013","183","N/A"
"62014","1,258","N/A"
"62015","177","N/A"
"62016","1,225","N/A"
"62017","371","N/A"
"62018","1,252","N/A"
"62019","132","N/A"
"62021","267","N/A"
"62022","340","N/A"
"62023","16","N/A"
"62024","3,036","N/A"
"62025","10,704","N/A"
"62026","295","N/A"
"62027","111","N/A"
"62028","236","N/A"
"62030","34","N/A"
"62031","276","N/A"
"62032","269","N/A"
"62033","1,718","N/A"
"62034","4,479","N/A"
"62035","6,284","N/A"
"62036","254","N/A"
"62037","553","N/A"
"62040","12,312","N/A"
"62044","556","N/A"
"62045","171","N/A"
"62046","302","N/A"
"62047","711","N/A"
"62048","398","N/A"
"62049","4,583","N/A"
"62050","127","N/A"
"62051","332","N/A"
"62052","5,097","N/A"
"62053","226","N/A"
"62054","249","N/A"
"62056","3,373","N/A"
"62058","232","N/A"
"62059","135","N/A"
"62060","1,092","N/A"
"62061","537","N/A"
"62062","2,608","N/A"
"62063","343","N/A"
"62065","43","N/A"
"62067","863","N/A"
"62069","1,122","N/A"
"62070","10","N/A"
"62074","280","N/A"
"62075","1,226","N/A"
"62076","30","N/A"
"62077","88","N/A"
"62078","12","N/A"
"62079","104","N/A"
"62080","868","N/A"
"62081","77","N/A"
"62082","862","N/A"
"62083","77","N/A"
"62084","530","N/A"
"62085","66","N/A"
"62086","435","N/A"
"62087","652","N/A"
"62088","2,467","N/A"
"62089","156","N/A"
"62090","270","N/A"
"62091","125","N/A"
"62092","1,145","N/A"
"62093","166","N/A"
"62094","333","N/A"
"62095","3,875","N/A"
"62097","836","N/A"
"62201","1,739","N/A"
"62202","43","N/A"
"62203","2,246","N/A"
"62204","1,381","N/A"
"62205","2,094","N/A"
"62206","4,104","N/A"
"62207","2,120","N/A"
"62208","5,471","N/A"
"62214","304","N/A"
"62215","594","N/A"
"62216","1,177","N/A"
"62217","296","N/A"
"62218","510","N/A"
"62219","382","N/A"
"62220","6,290","N/A"
"62221","9,275","N/A"
"62222","53","N/A"
"62223","5,195","N/A"
"62225","1,220","N/A"
"62226","9,912","N/A"
"62230","2,661","N/A"
"62231","2,852","N/A"
"62232","2,611","N/A"
"62233","3,351","N/A"
"62234","9,973","N/A"
"62236","4,330","N/A"
"62237","943","N/A"
"62238","204","N/A"
"62239","1,386","N/A"
"62240","469","N/A"
"62241","403","N/A"
"62242","437","N/A"
"62243","1,914","N/A"
"62244","281","N/A"
"62245","630","N/A"
"62246","3,190","N/A"
"62248","154","N/A"
"62249","5,491","N/A"
"62250","158","N/A"
"62253","211","N/A"
"62254","1,977","N/A"
"62255","256","N/A"
"62256","33","N/A"
"62257","885","N/A"
"62258","3,282","N/A"
"62259","1,156","N/A"
"62260","2,025","N/A"
"62261","65","N/A"
"62262","584","N/A"
"62263","1,619","N/A"
"62264","960","N/A"
"62265","1,578","N/A"
"62266","79","N/A"
"62268","182","N/A"
"62269","11,385","N/A"
"62271","562","N/A"
"62272","581","N/A"
"62273","103","N/A"
"62274","3,768","N/A"
"62275","1,012","N/A"
"62277","429","N/A"
"62278","2,642","N/A"
"62279","21","N/A"
"62280","113","N/A"
"62281","1,004","N/A"
"62282","165","N/A"
"62284","200","N/A"
"62285","1,490","N/A"
"62286","2,237","N/A"
"62288","1,091","N/A"
"62289","136","N/A"
"62292","256","N/A"
"62293","1,564","N/A"
"62294","5,216","N/A"
"62295","462","N/A"
"62297","122","N/A"
"62298","6,082","N/A"
"62301","14,504","N/A"
"62305","7,716","N/A"
"62306","22","N/A"
"62311","248","N/A"
"62312","866","N/A"
"62313","115","N/A"
"62314","220","N/A"
"62316","241","N/A"
"62319","44","N/A"
"62320","991","N/A"
"62321","1,269","N/A"
"62323","75","N/A"
"62324","473","N/A"
"62325","176","N/A"
"62326","744","N/A"
"62330","406","N/A"
"62334","46","N/A"
"62336","22","N/A"
"62338","509","N/A"
"62339","386","N/A"
"62340","577","N/A"
"62341","1,037","N/A"
"62343","243","N/A"
"62344","37","N/A"
"62345","125","N/A"
"62346","68","N/A"
"62347","790","N/A"
"62348","8","N/A"
"62349","246","N/A"
"62351","701","N/A"
"62352","78","N/A"
"62353","2,478","N/A"
"62354","394","N/A"
"62355","248","N/A"
"62356","232","N/A"
"62357","96","N/A"
"62358","160","N/A"
"62359","56","N/A"
"62360","653","N/A"
"62361","141","N/A"
"62362","124","N/A"
"62363","2,602","N/A"
"62365","214","N/A"
"62366","523","N/A"
"62367","349","N/A"
"62370","177","N/A"
"62373","104","N/A"
"62374","76","N/A"
"62375","116","N/A"
"62376","503","N/A"
"62378","253","N/A"
"62379","582","N/A"
"62380","111","N/A"
"62401","7,429","N/A"
"62410","361","N/A"
"62411","1,705","N/A"
"62413","153","N/A"
"62414","653","N/A"
"62417","1,309","N/A"
"62418","772","N/A"
"62419","130","N/A"
"62420","1,717","N/A"
"62421","256","N/A"
"62422","389","N/A"
"62423","196","N/A"
"62424","755","N/A"
"62425","211","N/A"
"62426","336","N/A"
"62427","488","N/A"
